Dept,Course #,Title,Semester,Credit,Faculty,Crosslists
NTRES,4600/6600,Planning for Environmental Conservation and Sustainability,Fall,3,"T.B. Lauber, E. Cooch",(crosslisted) ENVS 4600
NTRES,4601/6601,Decision Making in Environmental Conservation and Sustainability,Fall,3,"T.B. Lauber, E. Cooch",(crosslisted) ENVS 4601
NTRES,4750/5750,Environmental Justice and Policy,Spring,3,"S. Allred, R. Brenner",(crosslisted) GDEV 4750 
NTRES,4961/6960,Perspectives in Global Development,"Fall, Spring",1,"L. Buck, E. Mabaya, T. Tucker","(crosslisted) AEM 4961, GDEV 4961"
NTRES,4520,Land Use and Sustainable Livelihoods in the Nilgris,Spring,3,S. Wolf,
NTRES,1200,FWS: Special Topics in Natural Resources,Fall,3,Staff,
NTRES,2100,Introductory Field Biology,Fall,4,M. Goebel,
NTRES,2600,Field Research in the Ecological Arts,Spring,3,A. Davidson,
NTRES,4201,Forest Ecology Lab,Fall,1,T. Fahey,
NTRES,3150/6150,Introduction to Conservation Bioacoustics,Fall,"3,4","H. Klinck, A. Rice, L. Symes",
NTRES,4200/6200,Forest Ecology ,Fall,3,T. Fahey,
NTRES,2400,Field Methods in Avian Ecology,Fall,3,"D. Bonter, S. Kaiser",(crosslisted) ENVS 2400 
NTRES,3020,Earth Projects ,Fall,3,A. Davidson,(crosslisted) ENVS 3020 
PADM,1734,Disasters,Summer,3,R. Brenner,
PAM,2030,Population and Public Policy,"Spring, Summer","4,5",S. Sassler,
PAM,4110,"Pollution, Climate Change, and Health",Spring,3,N. Sanders,
PAM,3410,Economics of Consumer Protection and the Law,Fall,3,A. Mathios,
PAM,3400/5400,The Economics of Consumer Policy,Fall,4,S. Tennyson,(crosslisted) ECON 3610
PAM,3280,Fundamentals of Population Health ,Fall,3,J. Carmalt,(crosslisted) GDEV 3280 
PHIL,1440,Ethics of Eating,Fall,4,W. Starr,
PHIL,1950,Controversies About Inequality,Fall,4,J. Sullivan,"(crosslisted) AMST 2225, GDEV 2220, GOVT 2225, ILROB 2220, PAM 2220, SOC 2220"
PLBIO,2400,"Green World, Blue Planet","Fall, Summer",3,T. Silva,
PLBIO,2480,Vascular Plant Systematics,Fall,4,S. Onyenedum,
PLBRG,2010,"Plants, Genes, and Global Food Production",Spring,3,V. Moore,
PLBRG,2250,Plant Genetics,Spring,4,M. Mazourek,
PLBRG,2253,Lectures in Plant Genetics,Spring,3,M. Mazourek,
PLBRG,4030/6030,Genetic Improvement of Crop Plants ,Fall,3,V. Moore,
PLHRT,1102,Hands-On Horticulture for Gardeners,Spring,2,M. Pritts,
PLHRT,1250,Organic Vegetable Gardening,Spring,1,S. Reiners,
PLHRT,2020,Foods of the Future,Spring,3,P. Griffiths,
PLHRT,2350,"Food, Fiber, and Fulfillment: Plants and Human Well-Being",Spring,2,S. Skelly,
PLHRT,3050,Arboriculture: Applied Tree Care,Fall,3,T. Bauerle,
PLHRT,4175,Production and Marketing of Greenhouse Crops,Spring,4,W. Miller,
PLHRT,4450,Ecological Orchard Management,Spring,3,G. Peck,
PLHRT,3000/5000,Annual and Perennial Plants in the Landscape,Fall,2,D. Rakow,
PLHRT,4250/6250,Postharvest Biology of Horticultural Crops,Spring,3,S. Gan,
PLHRT,4920/5920,"Creating the Urban Eden: Woody Plant Selection, Design, and Landscape Establishment",Spring,2,J. Vanucchi,
PLSCI,1101,Plant Science and Systems,Fall,4,W. Miller,
PLSCI,1115,The Nature of Plants,Spring,3,T. Bauerle,
PLSCI,1125,Nature Rx,Fall,2,D. Rakow,(crosslisted) UNILWYL 1150
PLSCI,1150,CSI: Forensic Botany,Spring,3,W. Crepet,
PLSCI,1300,Just Food: Exploring the Modern Food System,Fall,4,"R. Bezner Kerr, F. Rossi",(crosslisted) GDEV 1300
PLSCI,1420,Functional Plant Biology,Spring,3,T. Silva,
PLSCI,2225,Introductory Plant Pathology,Spring,3,W. Fry,
PLSCI,2260,Practicum in Forest Farming as an Agroforestry System,Fall,1,K. Mudge,
PLSCI,3210/5210,Soil and Crop Management for Sustainability,Spring,3,H. Van Es,
PLSCS,1120,"Microbes, the Earth, and Everything",Fall,3,"D. Buckley, K. Hefferon",(crosslisted) BIOMI 1120
PLSCS,1900,"Sustainable Agriculture: Food, Farming, and the Future",Fall,3,M. Ryan,
PLSCS,2600,Soil Science,Fall,4,J. Russell-Anelli,
PLSCS,3650,"Environmental Chemistry: Soil, Air, and Water",Spring,3,C. Martinez,
PLSCS,2110/5110,Field Crop Systems,Fall,4,Staff,
PLSCS,1900,"Sustainable Agriculture: Food, Farming, and the Future",Fall,3,M. Ryan,
ROMS,1120,FWS: Animals in Global Cinema: Human and Nonhuman,Fall,3,E. Bachminska,
SOC,2208,Social Inequality,"Spring, Summer",4,"Spring, K. Weeden; Summer, Staff.","(crosslisted) GDEV 2090, PAM 2208"
SOC,3750,Classical Sociological Theory,Fall,4,M. Berezin,
SOC,1290,,,3,D. Strang,(crosslisted) AMST 1290
SOC,1104,"Race and Ethnicity in the United States: Social Constructs, Real World Consequences","Fall, Summer",3,S. Alvarado,"Not offered: 2022-2023. Next offered: 2023-2024; (crosslisted) AMST 1104, LSP 1105"
SOC,1101,Introduction to Sociology,"Fall, Spring, Summer",3,"Fall, K. Bischoff; Spring, L. Schnabel; Summer, Staff.",
SOC,3750,Classical Sociological Theory,Fall,4,M. Berezin,
SOC,3380,Urban Inequality ,Fall,3,K. Bischoff,Not offered: 2022-2023. Next offered: 2023-2024;(crosslisted) AMST 3380
STS,1101,"Science, Technology, and Politics",Summer,3,E. Abrams,
STS,4101,The Entangled Lives of Humans and Animals,Fall,4,R. Prentice,"(crosslisted) ANTHR 4101, BSOC 4101"
STS,2011,What Is Science? An Introduction to the Social Studies of Science and Technology,"Spring, Summer",3,S. Hilgartner,(crosslisted) SOC 2100 
STS,4451,Making Science Policy: The Real World,Spring,4,C. Leuenberger,(crosslisted) GOVT 4451 
UNILWYL,1152,How Cornell is Changing the World Through Climate Leadership,Fall,1,"S. Brylinsky, D. Eiseman",
VETCS,1200,Conservation Medicine: A Veterinary Perspective,Summer,3,R. Radcliffe,
